Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7n,C0402_JLCPCB,-15.85,-16.0,-90.0,top
C10,47n,C0603_JLCPCB,-14.27,18.681667,0.0,top
C11,47n,C0603_JLCPCB,-14.27,16.76,0.0,top
C12,47n,C0603_JLCPCB,-14.27,14.838334,0.0,top
C13,47n,C0603_JLCPCB,-14.27,12.916667,0.0,top
C14,100n,C0402_JLCPCB,17.2964,11.0478,0.0,top
C15,100n,C0402_JLCPCB,-5.1,-3.4,-90.0,top
C16,22u,C0603_JLCPCB,25.9834,10.2398,-90.0,top
C17,22u,C0603_JLCPCB,24.0784,10.2398,-90.0,top
C18,100n,C0402_JLCPCB,0.7,5.8,-90.0,top
C19,22u,C0603_JLCPCB,-10.668,24.892,90.0,top
C2,4.7n,C0402_JLCPCB,-15.3416,-2.032,0.0,top
C20,100n,C0402_JLCPCB,-9.0316,24.4784,-90.0,top
C21,100n,C0402_JLCPCB,12.827,23.0886,180.0,top
C22,100n,C0402_JLCPCB,5.7912,1.2074,90.0,top
C23,1u,C0603_JLCPCB,8.9916,22.1488,90.0,top
C24,100n,C0402_JLCPCB,16.129,5.207,180.0,top
C25,22p,C0402_JLCPCB,-13.84,10.13,-90.0,top
C26,22p,C0402_JLCPCB,-12.19,10.13,-90.0,top
C27,22p,C0402_JLCPCB,-10.59,10.13,-90.0,top
C28,47n,C0603_JLCPCB,9.4488,-6.5786,-90.0,top
C29,1u,C0603_JLCPCB,11.43,-6.4516,-90.0,top
C3,4.7n,C0402_JLCPCB,17.1,-14.4,-90.0,top
C30,10u,C0805_JLCPCB,16.3576,-6.477,0.0,top
C31,100n,C0402_JLCPCB,13.1318,-6.4262,-90.0,top
C32,1u,C0603_JLCPCB,16.5862,6.6548,180.0,top
C33,22u,C0603_JLCPCB,5.8674,-6.7056,-90.0,top
C4,10u,C0805_JLCPCB,14.0784,18.0398,-90.0,top
C5,100n,C0402_JLCPCB,12.4274,17.0238,-90.0,top
C6,4.7n,C0402_JLCPCB,-14.15,20.34,180.0,top
C7,1u,C0603_JLCPCB,-11.9,-8.3,180.0,top
C8,1u,C0603_JLCPCB,-11.9,-10.0,180.0,top
C9,1u,C0603_JLCPCB,-11.9,-11.7,0.0,top
D1,ESDA25L,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,-14.45,-20.723,0.0,top
D2,ESDA25P35-1U1M_C19829649,DFN1610-2L_L1.6-W1.0-P1.10-RD,-17.4,-16.6,-90.0,top
D3,"PMEG3050EP,115",SOD-128_L3.7-W2.5-LS4.7-RD,-22.3012,7.9756,0.0,top
D4,ESDA25P35-1U1M_C19829649,DFN1610-2L_L1.6-W1.0-P1.10-RD,-16.4084,-4.572,-90.0,top
D5,"PMEG3050EP,115",SOD-128_L3.7-W2.5-LS4.7-RD,16.8,-10.6,0.0,top
D6,ESDA25P35-1U1M_C19829649,DFN1610-2L_L1.6-W1.0-P1.10-RD,18.6,-15.0,-90.0,top
D7,"PMEG3050EP,115",SOD-128_L3.7-W2.5-LS4.7-RD,0.12,-7.4,180.0,top
IC1,DRV8316CRQRGFRQ1,VQFN-40_L7.0-W5.0-P0.50-BL-EP5.7,12.0,-0.0,270.0,top
J1,~,Connector_2pin_2_54,24.25,-11.9,180.0,top
J2,~,Connector_3pin_2_54,24.2,-0.0,0.0,top
L1,10u,IND-SMD_L3.2-W2.5_CKST322512-2.2UH,23.3924,14.0958,0.0,top
LED1,Red,LED0603-RD_RED,20.6784,10.2398,90.0,top
LED2,0805G (Green),LED0805-R-RD,-16.51,22.352,0.0,top
Q1,STL9P3LLH6-TP,DFN-8_L3.0-W3.0-P0.65-BL_WPM3028-8,-7.875,-5.9,180.0,top
R1,"5,1K",R0402_JLCPCB,-15.24,1.778,0.0,top
R10,10k,R0402_JLCPCB,-10.2954,18.751,180.0,top
R11,10k,R0402_JLCPCB,-10.2954,17.5752,180.0,top
R12,10k,R0402_JLCPCB,-10.2718,16.4068,180.0,top
R13,100k,R0402_JLCPCB,-11.55,-18.1,-90.0,top
R14,100,R0402_JLCPCB,-3.5,-4.02,90.0,top
R15,100k,R0402_JLCPCB,20.4,17.9,180.0,top
R16,22k,R0402_JLCPCB,17.07,17.9,180.0,top
R17,1k,R0603_JLCPCB,-1.4,-11.8,-90.0,top
R18,100,R0402_JLCPCB,22.4784,10.6398,-90.0,top
R19,330,R0402_JLCPCB,-13.208,21.844,0.0,top
